Codice	Descrizione	Targa Tel.	Coob.	Dec. punti
MV	MOTOVEICOLO	SI	SI	SI
TP	TARGA DI PROVA	SI	SI	NO
SP	SUOLO PUBBLICO	NO	NO	NO
QU	QUADRICICLO	SI	SI	NO
NU	NESSUNO	NO	NO	NO
A	AUTOVEICOLO	SI	SI	SI
AC	AUTOCARRO	SI	SI	SI
MT	MOTOCICLO	SI	SI	SI
CI	CICLOMOTORE	SI	SI	SI
RI	RIMORCHIO	SI	SI	SI
AB	AUTOBUS	SI	SI	SI
PE	PEDONE	NO	SI	NO
CE	CARIC. ESCAVATORE	SI	SI	NO
CP	PUBBLICITA'	NO	SI	NO
MC	MOTOCARRO	SI	SI	SI
OD	OPERE E DEPOSITI	NO	SI	NO
CA	CAMPER	SI	SI	NO
AG	AUTOGRU	SI	SI	SI
PT	PIANTE E TAVOLINI	NO	NO	NO
AV	AUTOVEICOLO	SI	SI	SI
VE	VELOCIPEDE	NO	SI	NO
TR	TRATTORE AG	SI	SI	NO
TE	TRATTRICE	SI	SI	NO
MO	MACCHIANA OPERATRICE SEMOVENTE	SI	SI	NO
MONOP	MONOPATTINO ELETTR.	NO	SI	NO
MA	MACCHINA AGRICOLA	SI	SI	NO
