Codice	Descrizione estesa	Naz.
APRI	APRILIA	I
ATAL	ATALA	I
AUDI	AUDI	D
AUTO	AUTOBIANCHI	I
BEDF	BEDFORD	GB
BMW	BMW	D
CAGI	CAGIVA	I
CHER	CHEROKEE	I
CHRY	CHRYSLER	
CITR	CITROEN	F
DAEW	DAEWOO	KOR
DAIH	DAIHATSU	
FERR	FERRARI	I
FIAT	FIAT	I
FORD	FORD	D
GILE	GILERA	I
HOND	HONDA	J
HYUN	HYUNDAI	KOR
INNO	INNOCENTI	I
ISUZ	ISUZU	
ITAL	ITALJET	I
IVEC	IVECO	I
JAGU	JAGUAR	GB
KAVA	KAVASAKI	
KIA	KIA	I
KIMC	KIMCO	I
LADA	LADA	
LANC	LANCIA	I
LAND	LAND ROVER	GB
MALA	MALAGUTI	I
MAZD	MAZDA	J
MBK	MBK	I
MERC	MERCEDES	D
MICR	MICRO	F
MINA	MINARELLI	I
MITS	MITSUBISHI	J
NISS	NISSAN	J
OPEL	OPEL	D
PEUG	PEUGEOT	F
PIAG	PIAGGIO	I
PORS	PORSCHE	D
RENA	RENAULT	F
ROVE	ROVER	GB
SAAB	SAAB	S
SEAT	SEAT	D
SKOD	SKODA	CS
SMAR	SMART	
SSAN	SSANGYON	RCK
SUBA	SUBARU	J
SUZU	SUZUKI	J
TOYO	TOYOTA	J
VOLK	VOLKSWAGEN	D
VOLV	VOLVO	S
