Codice	Denominazione	Chiave	Comune	Zona	Ente propr.
001474	1^ TRAV. V.LE TRAIANO	TRAV. V.LE TRAIANO            	1		
000115	ARCO BASILEO	BASILEO                       	1		
000425	ARCO DEL GIUDICE A.	DEL GIUDICE A.                	1		
000511	ARCO FESTA	FESTA                         	1		
000573	ARCO GELSO	GELSO                         	1		
000597	ARCO GIORGIO D	GIORGIO D                     	1		
000633	ARCO GUERRIERI	GUERRIERI                     	1		
000639	ARCO IACOPO	IACOPO                        	1		
002220	ARCO MADONNA DEI MARTIRI	ARCO MARTIRI	1		
000805	ARCO MARI	MARI                          	1		
000819	ARCO MARVULLI	MARVULLI                      	1		
000895	ARCO MONITILLO	MONITILLO                     	1		
001225	ARCO SERAFINO	SERAFINO                      	1		
001477	ARCO TRAMUTOLO	TRAMUTOLO                     	1		
000084	BADEN POWELL	BADEN	ALTAMURA		
002222	C. DA SFERRACAVALLO	SFERRACAVALLO	1		
000638	C.DA GUARINO	GUARINO                       	1		
001376	C.DA S.NICOLA CASCETTARO	S.NICOLA CASCETTARO           	1		
002230	C.DA SGOLGORE	SGOLGORE	1		
001506	C.DA TUMO	TUMO                          	1		
000027	CL ALTIERI	ALTIERI                       	1		
000045	CL ANTODARO	ANTODARO                      	1		
000059	CL ARMIENTO	ARMIENTO                      	1		
000083	CL AZZILLONNA	AZZILLONNA                    	1		
000121	CL BECCARIA	BECCARIA                      	1		
000229	CL CARDANO CARCANO	CARDANO CARCANO               	1		
000235	CL CARLUCCI G	CARLUCCI G                    	1		
000249	CL CASIELLO F.LLI	CASIELLO F.LLI                	1		
000279	CL CEGLIA	CEGLIA                        	1		
000301	CL CHIERICO	CHIERICO                      	1		
000319	CL CICIRELLI	CICIRELLI                     	1		
000325	CL CIFARELLI	CIFARELLI                     	1		
000329	CL CINFIO	CINFIO                        	1		
000331	CL CIONNO	CIONNO                        	1		
000429	CL DE LUZIO	DE LUZIO                      	1		
000421	CL DE MARI	DE MARI                       	1		
000437	CL DE NOTARIS	DE NOTARIS                    	1		
000407	CL DEBERNARDIS	DEBERNARDIS                   	1		
000423	CL DEI MORI	DEI MORI                      	1		
000449	CL DEVENUTO	DEVENUTO                      	1		
000453	CL DI LENA	DI LENA                       	1		
000456	CL DI LEO F.LLI	DI LEO F.LLI		1	CO
000503	CL FASANELLA	FASANELLA                     	1		
000529	CL FIRRAO	FIRRAO                        	1		
001183	CL FLLI SALVATORE	FLLI SALVATORE                	1		
000585	CL GIANNUZZI	GIANNUZZI                     	1		
000603	CL GIUDECCA	GIUDECCA                      	1		
000651	CL INFERNO	INFERNO                       	1		
000667	CL LA COLONNA	LA COLONNA                    	1		
000661	CL LABORANTE	LABORANTE                     	1		
000663	CL LABRIOLA	LABRIOLA                      	1		
000735	CL LOPORCARO	LOPORCARO                     	1		
000739	CL LORUSSO	LORUSSO                       	1		
000773	CL MAINO	MAINO                         	1		
000815	CL MARTINI	MARTINI                       	1		
000821	CL MARULLO	MARULLO                       	1		
000883	CL MIRTI	MIRTI                         	1		
000971	CL ORESTE	ORESTE                        	1		
001001	CL PAPA G	PAPA G            	1		
001009	CL PASCALE	PASCALE                       	1		
001017	CL PATELLA	PATELLA                       	1		
001023	CL PEPE	PEPE                          	1		
001037	CL PESTRICHELLA	PESTRICHELLA                  	1		
001055	CL PIOFALO	PIOFALO                       	1		
001065	CL PLANTAMURA	PLANTAMURA                    	1		
001075	CL POPOLIZIO	POPOLIZIO                     	1		
001077	CL PORCARIS	PORCARIS                      	1		
001081	CL PORSIA	PORSIA                        	1		
001097	CL PROCIDA	PROCIDA                       	1		
001129	CL RICCHETTI	RICCHETTI                     	1		
001155	CL ROSSI VIT	ROSSI VIT                     	1		
001157	CL ROTUNNO	ROTUNNO                       	1		
001177	CL SALLICANO	SALLICANO                     	1		
001193	CL SANTORO G.CO	SANTORO G.CO                  	1		
001197	CL SANTORO M.T.	SANTORO M.T.                  	1		
001215	CL SCARABAGGIO	SCARABAGGIO                   	1		
001216	CL SCARAGGIO	SCARAGGIO                     	1		
001277	CL SPERI TITO	SPERI TITO                    	1		
001411	CL TADDEO	TADDEO                        	1		
001475	CL TRADIMENTO	TRADIMENTO                    	1		
001491	CL TRICARICO	TRICARICO                     	1		
001198	CL TUBITO	TUBITO                        	1		
000387	CL. CURSOLI	CURSOLI                       	1		
000417	CL. DE LAURENTIS	DE LAURENTIS                  	1		
000957	CL. NUZZOLESE	NUZZOLESE                     	1		
000372	CONTRADA CRAPULICCHIO	CRAPULICCHIO			
002342	CONTRADA PARCHI CALIA	PARCHI CALIA		1	CO
000302	CONTRADA SANT'ELIA	SANT'ELIA CONTRADA		1	CO
000506	CSO FEDERICO II	FEDERICO II                   	1		
001511	CSO UMBERTO I	UMBERTO I                     	1		
001563	CSO V EMANUELE	V EMANUELE                    	1		
002033	DELL'AVENA	AVENA	1		
002022	DELLA MALVA	DELLA MALVA	1		
002255	FRONTE IST. VITI MAINO	FRONTE	1		
002261	FRONTE PISCINA SEVEN	SEVEN	1		
000326	INGRESSO CIMITERO	INGRESSO CIMITERO             	1		
000328	INTERNO CIMITERO	INTERNO CIMITERO              	1		
000980	INTERNO OSPEDALE PERINEI	OSPEDALE                      	1		
000486	LARGO EPITAFFIO	EPITAFFIO	ALTAMURA	1	CO
000484	LARGO EPITAFFIO FRONTE FAL	EPITAFFIO	ALTAMURA	1	CO
000940	LARGO NITTI F.	NITTI F.                    	1		
001000	LARGO NITTI FRANCESCO- COMANDO	NITTI FRANCESCO- COMANDO P.M. 	1		
001014	LARGO PASSARELLO	PASSARELLO                    	1		
002257	LATO IST. VITI MAINO	LATO	1		
000544	LE FORNACI	LE FORNACI	ALTAMURA		
002267	LICEO SCIENTIFICO	SCIENTIFICO	1		
000004	MANCA MANCA	MANCA                         	1		
000836	MATERA INGRESSO PARCO GIOCHI	MATERA	ALTAMURA	1	CO
000924	MURA M. FRONTE PISCINA 	MURA MEGALITICHE	ALTAMURA	1	CO
000978	OSPEDALE PERINEI INGR PRONTO SOCC	OSPEDALE	1		
000838	P.ZZA MATTEOTTI LATO UFFICI COMUNE	MATTEOTTI LATO MERCATO        	1		
001348	PARCO S GIULIANO	S GIULIANO                    	1		
002321	PIANO -2	PIANO	1		
002323	PIANO -3	PIANO	1		
000607	PIAZZA CESARE G.	CESARE G                      	1		
000419	PIAZZA DALLA CHIESA	DALLA CHIESA                  	1		
000431	PIAZZA DE NAPOLI	DE NAPOLI                     	1		
000881	PIAZZA DON MINZONI	DON MINZONI                   	1		
000471	PIAZZA DUOMO	DUOMO                         	1		
000470	PIAZZA DUOMO LATO CATTEDRALE	DUOMO LATO CATTEDRALE         	1		
000483	PIAZZA EPITAFFIO LATO FAL	EPITAFFIO LATO FAL            	1		
000493	PIAZZA EUROPA	EUROPA                        	1		
000515	PIAZZA FIERAMOSCA E.	FIERAMOSCA E.                 	1		
000659	PIAZZA ITALIA	ITALIA                        	1		
002006	PIAZZA LAUDATI	S.P.41                        	1		
000696	PIAZZA LAUDATI LATO SCUOLE	LAUDATI	ALTAMURA	1	CO
000695	PIAZZA LAUDATI R.	LAUDATI R.                    	1		
