Articolo	Comma	Codice	Descrizione	Sanzione 60gg.	Sanz. sconto 30%	Punti patente	Codice sanz. acc.	Sanzione Accessoria 1	Data Istat	Data inizio validità effettiva	Data inizio validità	Data fine validità	Sosta Mov.	Annotazioni	Sosta disco	Sosta ticket	Transito ztl	Sosp. patente breve	Magg. notte	Utilizzabile dagli operatori abilitati
001	75qaut./undev.	16075	MONOPATTINO CON CARATTERISTICHE TECNICHE DIVERSE	200,00	140,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75duod. e duod.	16076	CIRCOLARE CON MONOPAT. SENZA REGGERE IL MANUBRIO	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75 quater		MONOPATTINO SENZA ASSICUR. O CON CONTR. NON VISIB.	0,00	N.P.	0	0		01/01/2016	14/12/2024	14/12/2024									Verbali CA & SP
001	75dec. e duod.	16084	TRASPORTO PERSONE/ANIMALE O COSE SU MONOPAT.	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75nov. e duod.	16083	CONDUCENTE MONOPATTINO PRIVO DI CASCO	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75und. e duod.	16082	CIRCOLARE CON MONOPAT. SU MARCIAPIEDE O CONTROMANO	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75quat. e duod.	16085	CIRCOLARE CON MONOPAT. SUPERANDO LIMITE VELOCITA'	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75quin. e duod.	16078	SOSTA SUL MARCIAPIEDE MONOPATTINO	41,00	28,70	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75sept. e duod.	16081	CIRC. CON MONOPATTINO SENZAGIUBBOTTO ALTA VIS.	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75sexc. e duod.	16079	CIRC. CON MONOPATTINO SENZA DISPOSITIVI  DI SEGN.	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75tred. e duod.	16080	CIRCOLARE CON MONOPAT. SU STRADE NON CONSENTITE	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
001	75octi. e duod.	16077	CIRC. CON MONOPATTINO SENZA AVER COMPIUTO 14 ANNI	50,00	35,00	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
4	1	00499	EMERGENZA COVID PEDONE	400,00	280,00		0		25/03/2020	25/03/2020	25/03/2020									Verbali CA & SP
4	1	00498	EMERGENZA COVID VEICOLO	533,33	373,33		0		25/03/2020	25/03/2020	25/03/2020									Verbali CA & SP
